tms_acc,x_acc,y_acc,z_acc,tms_gyr,x_gyr,y_gyr,z_gyr,tms_mag,x_mag,y_mag,z_mag,tms_ori,yaw,pitch,roll,blockID,testID,freq
20230915-14:03:05.051,-0.49320555,-2.7617116,-9.707291,20230915-14:03:04.388,0.0016035213,-0.00022907447,0.011911872,20230915-14:03:03.545,-4.9874997,25.4025,29.535,20230915-14:03:02.707,-0.26003304,0.1377462,-3.0763476,86906,1,100
20230915-14:03:05.060,-0.19752164,-2.4887726,-9.592369,20230915-14:03:04.399,0.000992656,-0.0008399397,0.0106901415,20230915-14:03:03.566,-5.0474997,25.7925,27.48,20230915-14:03:02.722,-0.29382226,0.16765837,-3.0929193,86906,1,100
20230915-14:03:05.072,-0.36990416,-2.5845408,-9.301474,20230915-14:03:04.408,-0.0008399397,-0.001450805,0.009468411,20230915-14:03:03.576,-5.0474997,25.7925,27.48,20230915-14:03:02.736,-0.2716606,0.17053203,-3.0864165,86906,1,100
20230915-14:03:05.091,-0.022744916,-2.231396,-9.683349,20230915-14:03:04.419,-0.0026725354,-0.0008399397,0.008857546,20230915-14:03:03.595,-4.9049997,25.17,27.105,20230915-14:03:02.747,-0.25817028,0.16326441,-3.0716498,86906,1,100
20230915-14:03:05.100,-0.18195933,-2.5605986,-9.738416,20230915-14:03:04.428,-0.0020616702,0.000992656,0.008857546,20230915-14:03:03.604,-4.9125,25.6575,27.164999,20230915-14:03:02.762,-0.33500785,0.2031974,-3.115132,86906,1,100
20230915-14:03:05.111,0.095768064,-2.3427265,-9.767146,20230915-14:03:04.439,-0.001450805,0.003436117,0.0076358155,20230915-14:03:03.615,-4.9125,25.6575,27.164999,20230915-14:03:02.776,-0.38047203,0.21152909,-3.1324341,86906,1,100
20230915-14:03:05.120,0.80445176,-1.0869676,-9.405622,20230915-14:03:04.448,-0.0008399397,0.004046982,0.006414085,20230915-14:03:03.624,-4.845,25.252499,26.9175,20230915-14:03:02.786,-0.3238042,0.17270759,-3.1145484,86906,1,100
20230915-14:03:05.131,0.23582886,-1.9608512,-9.032125,20230915-14:03:04.459,-0.001450805,0.004046982,0.006414085,20230915-14:03:03.635,-4.845,25.252499,26.9175,20230915-14:03:02.797,-0.36037633,0.17123881,3.12426,86906,1,100
20230915-14:03:05.140,0.062249243,-2.4372973,-9.846154,20230915-14:03:04.479,-0.0032834008,0.000992656,0.00580322,20230915-14:03:03.644,-4.7325,25.65,26.5875,20230915-14:03:02.812,-0.32721224,0.1560647,-3.1325321,86906,1,100
20230915-14:03:05.152,-0.7194576,-3.2800562,-10.505757,20230915-14:03:04.488,-0.0026725354,-0.0008399397,0.00580322,20230915-14:03:03.656,-4.7325,25.65,26.5875,20230915-14:03:02.826,-0.32762334,0.15346552,-3.1337717,86906,1,100
20230915-14:03:05.171,0.30286652,-2.5941176,-9.828198,20230915-14:03:04.499,-0.00022907447,-0.0020616702,0.0070249503,20230915-14:03:03.667,-4.8599997,26.0625,26.6325,20230915-14:03:02.836,-0.29965356,0.15011716,-3.1127093,86906,1,100
20230915-14:03:05.180,-0.7517793,-2.7485435,-7.9152308,20230915-14:03:04.518,0.00038179077,0.00038179077,0.0070249503,20230915-14:03:03.686,-4.89,25.8225,26.295,20230915-14:03:02.846,-0.23519276,0.13746475,-3.0722497,86906,1,100
20230915-14:03:05.192,0.46926352,-1.9835961,-9.275137,20230915-14:03:04.528,-0.00022907447,0.0022143866,0.006414085,20230915-14:03:03.696,-4.89,25.8225,26.295,20230915-14:03:02.856,-0.24698524,0.16512887,-3.0749836,86906,1,100
20230915-14:03:05.201,0.5327099,-1.9249382,-9.02614,20230915-14:03:04.539,-0.0008399397,0.0016035213,0.0070249503,20230915-14:03:03.705,-4.935,25.912498,20.602499,20230915-14:03:02.866,-0.23284529,0.16922715,-3.0581918,86906,1,100
20230915-14:03:05.220,0.049081136,-2.0697873,-9.41879,20230915-14:03:04.558,-0.0008399397,-0.001450805,0.008246681,20230915-14:03:03.716,-4.935,25.912498,20.602499,20230915-14:03:02.876,-0.2265447,0.14660801,-3.059065,86906,1,100
20230915-14:03:05.231,0.34715924,-2.19668,-8.932767,20230915-14:03:04.568,-0.0008399397,-0.0026725354,0.008246681,20230915-14:03:03.726,-4.3424997,25.672499,26.039999,20230915-14:03:02.886,-0.29651347,0.146489,-3.1088543,86906,1,100
20230915-14:03:05.240,0.05865794,-2.5474305,-11.5951185,20230915-14:03:04.577,-0.0020616702,-0.0008399397,0.008246681,20230915-14:03:03.736,-4.3424997,25.672499,26.039999,20230915-14:03:02.896,-0.28903732,0.14262037,-3.1035368,86906,1,100
20230915-14:03:05.252,0.20470424,-2.396596,-10.425551,20230915-14:03:04.588,-0.00022907447,0.000992656,0.009468411,20230915-14:03:03.745,-4.7925,25.627499,27.39,20230915-14:03:02.906,-0.2891828,0.17644313,-3.1081407,86906,1,100
20230915-14:03:05.271,0.18914193,-2.4827871,-8.543709,20230915-14:03:04.599,0.0022143866,0.000992656,0.010079277,20230915-14:03:03.756,-4.7925,25.627499,27.39,20230915-14:03:02.916,-0.26764682,0.18558508,-3.0872593,86906,1,100
20230915-14:03:05.280,0.22864626,-2.171541,-8.475474,20230915-14:03:04.617,0.000992656,-0.00022907447,0.0106901415,20230915-14:03:03.766,-4.83,25.994999,29.1975,20230915-14:03:02.927,-0.28987312,0.2066046,-3.096196,86906,1,100
20230915-14:03:05.291,0.076614454,-2.693477,-9.799467,20230915-14:03:04.628,0.00038179077,-0.0008399397,0.011911872,20230915-14:03:03.776,-4.83,25.994999,29.1975,20230915-14:03:02.942,-0.26728594,0.223826,-3.0723464,86906,1,100
20230915-14:03:05.300,-0.16998832,-2.9233203,-9.982624,20230915-14:03:04.638,-0.0008399397,0.000992656,0.0125227375,20230915-14:03:03.785,-4.6875,25.305,29.2575,20230915-14:03:02.952,-0.2015363,0.2147155,-3.0391085,86906,1,100
20230915-14:03:05.311,0.06344634,-1.8339585,-9.532514,20230915-14:03:04.648,-0.001450805,0.0016035213,0.011911872,20230915-14:03:03.796,-4.6875,25.305,29.2575,20230915-14:03:02.967,-0.2160456,0.2056406,-3.041341,86906,1,100
20230915-14:03:05.320,0.142455,-2.445677,-10.086772,20230915-14:03:04.659,-0.0026725354,0.0022143866,0.011301007,20230915-14:03:03.806,-4.8375,26.0175,29.4825,20230915-14:03:02.982,-0.21433985,0.1902965,-3.0439954,86906,1,100
20230915-14:03:05.332,-0.08379706,-2.7641058,-9.933543,20230915-14:03:04.679,-0.0032834008,0.008323039,0.0076358155,20230915-14:03:03.816,-4.8375,26.0175,29.4825,20230915-14:03:02.996,-0.20299734,0.18048428,-3.0483842,86906,1,100
20230915-14:03:05.352,-0.1592144,-2.565387,-9.621099,20230915-14:03:04.699,-0.0020616702,0.0016035213,0.005192355,20230915-14:03:03.825,-4.6875,25.2825,29.3925,20230915-14:03:03.006,-0.2185292,0.17748758,-3.0493503,86906,1,100
20230915-14:03:05.371,-0.2633622,-2.7712884,-8.980651,20230915-14:03:04.708,-0.0032834008,0.0016035213,0.00580322,20230915-14:03:03.836,-4.6875,25.2825,29.3925,20230915-14:03:03.016,-0.2281367,0.17281318,-3.0580735,86906,1,100
20230915-14:03:05.380,-0.18435353,-3.3842041,-9.980229,20230915-14:03:04.719,-0.0045051314,0.004046982,0.006414085,20230915-14:03:03.846,-4.62,25.6125,28.762499,20230915-14:03:03.026,-0.23349735,0.18123902,-3.066742,86906,1,100
20230915-14:03:05.391,-0.25498247,-2.837129,-9.57561,20230915-14:03:04.728,-0.0045051314,0.008323039,0.0070249503,20230915-14:03:03.856,-4.62,25.6125,28.762499,20230915-14:03:03.036,-0.26142746,0.20503747,-3.0801113,86906,1,100
20230915-14:03:05.401,-0.110133275,-2.4540567,-9.329007,20230915-14:03:04.739,-0.0045051314,0.009544769,0.0076358155,20230915-14:03:03.865,-4.755,25.6125,29.0175,20230915-14:03:03.047,-0.2761804,0.2163815,-3.0896633,86906,1,100
20230915-14:03:05.420,0.18076223,-1.4137762,-9.118318,20230915-14:03:04.750,-0.003894266,0.008323039,0.0070249503,20230915-14:03:03.876,-4.755,25.6125,29.0175,20230915-14:03:03.062,-0.2680874,0.22694355,-3.0806258,86906,1,100
20230915-14:03:05.431,-0.027533319,-2.3511062,-8.602366,20230915-14:03:04.768,-0.0008399397,-0.00022907447,0.008246681,20230915-14:03:03.886,-4.68,25.2825,28.949999,20230915-14:03:03.076,-0.25808468,0.22564933,-3.0771778,86906,1,100
20230915-14:03:05.440,-0.10654198,-3.5853171,-9.911995,20230915-14:03:04.780,0.00038179077,-0.0026725354,0.009468411,20230915-14:03:03.896,-4.68,25.2825,28.949999,20230915-14:03:03.086,-0.24678524,0.21820983,-3.080629,86906,1,100
20230915-14:03:05.452,0.1316811,-2.9867666,-10.4171715,20230915-14:03:04.800,-0.0008399397,-0.00022907447,0.008246681,20230915-14:03:03.905,-4.5675,25.74,29.07,20230915-14:03:03.101,-0.26156184,0.20740983,-3.094296,86906,1,100
20230915-14:03:05.471,0.7038953,-2.5965118,-8.704121,20230915-14:03:04.819,-0.0026725354,0.0028252518,0.0076358155,20230915-14:03:03.916,-4.5675,25.74,29.07,20230915-14:03:03.111,-0.28390083,0.22436105,-3.1062682,86906,1,100
20230915-14:03:05.480,0.92416185,-2.373851,-8.623915,20230915-14:03:04.828,-0.001450805,0.004046982,0.008857546,20230915-14:03:03.926,-5.0025,25.89,29.1975,20230915-14:03:03.126,-0.2773424,0.23335226,-3.1042202,86906,1,100
20230915-14:03:05.491,0.8355764,-2.753332,-8.560468,20230915-14:03:04.839,-0.001450805,0.004046982,0.0106901415,20230915-14:03:03.936,-5.0025,25.89,29.1975,20230915-14:03:03.136,-0.25815207,0.23414168,-3.091009,86906,1,100
20230915-14:03:05.502,0.90740246,-3.0609868,-9.121908,20230915-14:03:04.859,-0.010002919,0.015042556,0.015577064,20230915-14:03:03.947,-4.9725,26.279999,28.807499,20230915-14:03:03.146,-0.26728535,0.23770267,-3.0971212,86906,1,100
